time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-03 00:00:00+00:00,365,17,1091,224
2023-01-04 00:00:00+00:00,277,28,2646,541
2023-01-05 00:00:00+00:00,458,33,2683,609
2023-01-06 00:00:00+00:00,177,22,2233,481
2023-01-07 00:00:00+00:00,10,9,683,163
2023-01-08 00:00:00+00:00,16,10,548,137
2023-01-09 00:00:00+00:00,151,18,2855,676
2023-01-10 00:00:00+00:00,291,20,3005,694
2023-01-11 00:00:00+00:00,187,17,3182,717
2023-01-12 00:00:00+00:00,131,20,2839,639
2023-01-13 00:00:00+00:00,211,20,2456,481
2023-01-14 00:00:00+00:00,8,6,842,170
2023-01-15 00:00:00+00:00,6,6,696,159
2023-01-16 00:00:00+00:00,58,13,2352,536
2023-01-17 00:00:00+00:00,177,22,3147,626
2023-01-18 00:00:00+00:00,246,16,3029,672
2023-01-19 00:00:00+00:00,390,27,3234,738
2023-01-20 00:00:00+00:00,453,25,2775,554
2023-01-21 00:00:00+00:00,29,9,624,182
2023-01-22 00:00:00+00:00,30,11,860,188
2023-01-23 00:00:00+00:00,173,11,2395,659
2023-01-24 00:00:00+00:00,694,22,3344,676
2023-01-25 00:00:00+00:00,606,18,3778,635
2023-01-26 00:00:00+00:00,187,13,2510,579
2023-01-27 00:00:00+00:00,312,16,2521,562
2023-01-28 00:00:00+00:00,38,8,763,190
2023-01-29 00:00:00+00:00,28,11,660,166
2023-01-30 00:00:00+00:00,384,23,2890,673
2023-01-31 00:00:00+00:00,885,24,3553,707
2023-02-01 00:00:00+00:00,312,22,2992,711
2023-02-02 00:00:00+00:00,286,17,3145,747
2023-02-03 00:00:00+00:00,429,22,2945,680
2023-02-04 00:00:00+00:00,33,8,773,199
2023-02-05 00:00:00+00:00,22,9,838,211
2023-02-06 00:00:00+00:00,1079,32,2960,659
2023-02-07 00:00:00+00:00,1445,33,3257,712
2023-02-08 00:00:00+00:00,874,25,3780,710
2023-02-09 00:00:00+00:00,813,29,3610,737
2023-02-10 00:00:00+00:00,541,22,2701,575
2023-02-11 00:00:00+00:00,817,15,864,184
2023-02-12 00:00:00+00:00,823,17,1005,180
2023-02-13 00:00:00+00:00,933,23,3340,683
2023-02-14 00:00:00+00:00,559,36,3028,681
2023-02-15 00:00:00+00:00,852,25,3360,710
2023-02-16 00:00:00+00:00,1222,32,3569,731
2023-02-17 00:00:00+00:00,944,19,2863,614
2023-02-18 00:00:00+00:00,577,7,1033,177
2023-02-19 00:00:00+00:00,604,11,937,206
2023-02-20 00:00:00+00:00,924,25,3481,554
2023-02-21 00:00:00+00:00,846,27,3718,717
2023-02-22 00:00:00+00:00,1318,25,3404,729
2023-02-23 00:00:00+00:00,1097,28,4522,724
2023-02-24 00:00:00+00:00,588,33,3174,569
2023-02-25 00:00:00+00:00,552,16,867,190
2023-02-26 00:00:00+00:00,575,21,942,210
2023-02-27 00:00:00+00:00,336,20,3852,718
2023-02-28 00:00:00+00:00,657,23,3653,734
2023-03-01 00:00:00+00:00,586,33,3676,702
2023-03-02 00:00:00+00:00,489,26,3927,749
2023-03-03 00:00:00+00:00,576,26,3445,635
2023-03-04 00:00:00+00:00,12,9,990,203
2023-03-05 00:00:00+00:00,69,25,792,188
2023-03-06 00:00:00+00:00,533,28,3037,652
2023-03-07 00:00:00+00:00,340,19,3923,757
2023-03-08 00:00:00+00:00,337,27,4014,630
2023-03-09 00:00:00+00:00,539,31,4031,748
2023-03-10 00:00:00+00:00,464,23,3204,637
2023-03-11 00:00:00+00:00,150,5,808,196
2023-03-12 00:00:00+00:00,138,9,814,182
2023-03-13 00:00:00+00:00,544,20,3289,695
2023-03-14 00:00:00+00:00,425,23,3556,701
2023-03-15 00:00:00+00:00,252,26,4355,749
2023-03-16 00:00:00+00:00,604,23,3752,749
2023-03-17 00:00:00+00:00,375,20,3247,630
2023-03-18 00:00:00+00:00,8,5,840,185
2023-03-19 00:00:00+00:00,10,8,702,169
2023-03-20 00:00:00+00:00,336,20,3534,677
2023-03-21 00:00:00+00:00,659,26,4191,752
2023-03-22 00:00:00+00:00,628,21,3932,735
2023-03-23 00:00:00+00:00,474,26,3674,735
2023-03-24 00:00:00+00:00,165,16,2661,680
2023-03-25 00:00:00+00:00,49,8,803,175
2023-03-26 00:00:00+00:00,18,14,821,197
2023-03-27 00:00:00+00:00,200,17,3310,698
2023-03-28 00:00:00+00:00,210,14,3422,745
2023-03-29 00:00:00+00:00,247,13,3335,761
2023-03-30 00:00:00+00:00,483,24,3795,684
2023-03-31 00:00:00+00:00,485,20,2729,594
2023-04-01 00:00:00+00:00,27,15,559,166
2023-04-02 00:00:00+00:00,20,13,1113,170
2023-04-03 00:00:00+00:00,465,21,3786,701
2023-04-04 00:00:00+00:00,469,19,3394,686
2023-04-05 00:00:00+00:00,314,19,3058,714
2023-04-06 00:00:00+00:00,115,14,2915,673
2023-04-07 00:00:00+00:00,288,19,2233,419
2023-04-08 00:00:00+00:00,5,4,863,177
2023-04-09 00:00:00+00:00,7,7,717,181
2023-04-10 00:00:00+00:00,386,12,2639,494
2023-04-11 00:00:00+00:00,356,18,3554,702
2023-04-12 00:00:00+00:00,159,21,3375,714
2023-04-13 00:00:00+00:00,271,18,3519,715
2023-04-14 00:00:00+00:00,239,14,3067,561
2023-04-15 00:00:00+00:00,39,11,984,157
2023-04-16 00:00:00+00:00,39,26,1064,167
2023-04-17 00:00:00+00:00,443,23,3179,669
2023-04-18 00:00:00+00:00,394,19,3637,734
2023-04-19 00:00:00+00:00,257,14,3986,715
2023-04-20 00:00:00+00:00,339,14,3179,672
2023-04-21 00:00:00+00:00,255,15,2347,558
2023-04-22 00:00:00+00:00,30,4,598,163
2023-04-23 00:00:00+00:00,29,13,562,175
2023-04-24 00:00:00+00:00,194,12,3435,711
2023-04-25 00:00:00+00:00,331,26,4206,694
2023-04-26 00:00:00+00:00,864,29,3568,694
2023-04-27 00:00:00+00:00,396,32,4252,683
2023-04-28 00:00:00+00:00,134,17,2805,531
2023-04-29 00:00:00+00:00,46,16,965,146
2023-04-30 00:00:00+00:00,15,9,806,164
2023-05-01 00:00:00+00:00,89,25,1980,367
2023-05-02 00:00:00+00:00,454,19,3720,714
2023-05-03 00:00:00+00:00,225,16,3422,645
2023-05-04 00:00:00+00:00,449,13,3243,632
2023-05-05 00:00:00+00:00,196,16,2679,632
2023-05-06 00:00:00+00:00,9,8,684,164
2023-05-07 00:00:00+00:00,39,11,756,197
2023-05-08 00:00:00+00:00,361,22,3713,658
2023-05-09 00:00:00+00:00,1086,24,4383,632
2023-05-10 00:00:00+00:00,317,12,4016,665
2023-05-11 00:00:00+00:00,527,30,3764,729
2023-05-12 00:00:00+00:00,515,23,4120,591
2023-05-13 00:00:00+00:00,8,8,870,174
2023-05-14 00:00:00+00:00,5,5,726,152
2023-05-15 00:00:00+00:00,527,29,3844,650
2023-05-16 00:00:00+00:00,638,24,4204,688
2023-05-17 00:00:00+00:00,435,24,4038,707
2023-05-18 00:00:00+00:00,424,23,3141,594
2023-05-19 00:00:00+00:00,200,23,3764,783
2023-05-20 00:00:00+00:00,26,14,1491,363
2023-05-21 00:00:00+00:00,20,13,1786,301
2023-05-22 00:00:00+00:00,527,17,4657,768
2023-05-23 00:00:00+00:00,430,24,4255,783
2023-05-24 00:00:00+00:00,359,21,4553,812
2023-05-25 00:00:00+00:00,544,43,4241,764
2023-05-26 00:00:00+00:00,109,24,3301,598
2023-05-27 00:00:00+00:00,33,13,1086,174
2023-05-28 00:00:00+00:00,35,23,903,162
2023-05-29 00:00:00+00:00,66,15,2336,503
2023-05-30 00:00:00+00:00,117,16,3840,728
2023-05-31 00:00:00+00:00,770,31,4294,714
2023-06-01 00:00:00+00:00,388,24,4047,650
2023-06-02 00:00:00+00:00,305,10,3682,548
2023-06-03 00:00:00+00:00,9,6,1095,201
2023-06-04 00:00:00+00:00,37,14,1471,206
2023-06-05 00:00:00+00:00,172,15,3707,629
2023-06-06 00:00:00+00:00,710,32,4114,737
2023-06-07 00:00:00+00:00,559,19,4304,691
2023-06-08 00:00:00+00:00,424,30,3922,701
2023-06-09 00:00:00+00:00,184,11,3286,552
2023-06-10 00:00:00+00:00,10,8,1219,164
2023-06-11 00:00:00+00:00,183,16,1377,155
2023-06-12 00:00:00+00:00,528,18,5131,727
2023-06-13 00:00:00+00:00,736,18,5085,787
2023-06-14 00:00:00+00:00,245,25,4153,779
2023-06-15 00:00:00+00:00,280,20,4812,698
2023-06-16 00:00:00+00:00,379,23,4365,640
2023-06-17 00:00:00+00:00,39,7,808,160
2023-06-18 00:00:00+00:00,18,13,1207,173
2023-06-19 00:00:00+00:00,562,26,3726,676
2023-06-20 00:00:00+00:00,714,23,5828,695
2023-06-21 00:00:00+00:00,365,17,4533,679
2023-06-22 00:00:00+00:00,622,23,3770,630
2023-06-23 00:00:00+00:00,717,24,3628,609
2023-06-24 00:00:00+00:00,28,9,837,168
2023-06-25 00:00:00+00:00,45,14,894,189
2023-06-26 00:00:00+00:00,539,18,4787,672
2023-06-27 00:00:00+00:00,336,19,4354,718
2023-06-28 00:00:00+00:00,521,22,4673,739
2023-06-29 00:00:00+00:00,311,20,4460,607
2023-06-30 00:00:00+00:00,153,16,3486,540
2023-07-01 00:00:00+00:00,24,21,1024,153
2023-07-02 00:00:00+00:00,19,16,1213,197
2023-07-03 00:00:00+00:00,70,16,3790,622
2023-07-04 00:00:00+00:00,38,18,4294,579
2023-07-05 00:00:00+00:00,594,28,4724,722
2023-07-06 00:00:00+00:00,878,29,5542,741
2023-07-07 00:00:00+00:00,432,13,4699,607
2023-07-08 00:00:00+00:00,63,12,944,162
2023-07-09 00:00:00+00:00,15,12,1090,168
