time_iso8601,forks_cumulative
2017-03-30 00:00:00+00:00,2
2017-03-31 00:00:00+00:00,4
2017-04-01 00:00:00+00:00,5
2017-04-02 00:00:00+00:00,6
2017-04-03 00:00:00+00:00,7
2017-04-04 00:00:00+00:00,9
2017-04-10 00:00:00+00:00,10
2017-04-28 00:00:00+00:00,12
2017-05-01 00:00:00+00:00,13
2017-05-07 00:00:00+00:00,14
2017-05-11 00:00:00+00:00,15
2017-05-15 00:00:00+00:00,16
2017-05-16 00:00:00+00:00,18
2017-06-05 00:00:00+00:00,19
2017-06-12 00:00:00+00:00,20
2017-06-14 00:00:00+00:00,21
2017-06-20 00:00:00+00:00,22
2017-06-22 00:00:00+00:00,23
2017-06-27 00:00:00+00:00,24
2017-07-07 00:00:00+00:00,25
2017-07-14 00:00:00+00:00,27
2017-07-24 00:00:00+00:00,28
2017-07-26 00:00:00+00:00,29
2017-07-27 00:00:00+00:00,30
2017-08-05 00:00:00+00:00,31
2017-08-09 00:00:00+00:00,32
2017-08-10 00:00:00+00:00,33
2017-08-11 00:00:00+00:00,35
2017-08-12 00:00:00+00:00,36
2017-09-13 00:00:00+00:00,37
2017-09-21 00:00:00+00:00,38
2017-09-27 00:00:00+00:00,39
2017-09-28 00:00:00+00:00,40
2017-09-29 00:00:00+00:00,41
2017-10-04 00:00:00+00:00,43
2017-10-05 00:00:00+00:00,44
2017-10-12 00:00:00+00:00,46
2017-10-17 00:00:00+00:00,47
2017-10-29 00:00:00+00:00,48
2017-11-08 00:00:00+00:00,49
2017-11-09 00:00:00+00:00,50
2017-11-15 00:00:00+00:00,51
2017-11-16 00:00:00+00:00,53
2017-11-17 00:00:00+00:00,54
2017-11-21 00:00:00+00:00,55
2017-11-27 00:00:00+00:00,56
2017-11-29 00:00:00+00:00,57
2017-12-01 00:00:00+00:00,58
2017-12-02 00:00:00+00:00,59
2017-12-12 00:00:00+00:00,60
2017-12-14 00:00:00+00:00,63
2017-12-19 00:00:00+00:00,65
2018-01-03 00:00:00+00:00,66
2018-01-08 00:00:00+00:00,67
2018-01-10 00:00:00+00:00,68
2018-01-24 00:00:00+00:00,69
2018-02-06 00:00:00+00:00,70
2018-02-08 00:00:00+00:00,71
2018-02-14 00:00:00+00:00,72
2018-02-18 00:00:00+00:00,73
2018-02-22 00:00:00+00:00,74
2018-02-25 00:00:00+00:00,75
2018-02-26 00:00:00+00:00,76
2018-03-04 00:00:00+00:00,77
2018-03-10 00:00:00+00:00,78
2018-03-12 00:00:00+00:00,79
2018-03-16 00:00:00+00:00,80
2018-03-19 00:00:00+00:00,81
2018-03-26 00:00:00+00:00,82
2018-03-30 00:00:00+00:00,83
2018-03-31 00:00:00+00:00,84
2018-04-01 00:00:00+00:00,85
2018-04-03 00:00:00+00:00,86
2018-04-04 00:00:00+00:00,88
2018-04-09 00:00:00+00:00,89
2018-04-10 00:00:00+00:00,90
2018-04-11 00:00:00+00:00,91
2018-04-12 00:00:00+00:00,92
2018-04-13 00:00:00+00:00,94
2018-04-18 00:00:00+00:00,95
2018-04-20 00:00:00+00:00,96
2018-04-23 00:00:00+00:00,98
2018-04-27 00:00:00+00:00,101
